"","Department","Salary"
"1","Academic Programs",142297
"2","Accting & Info Sys",373028
"3","Administration",240854
"4","African American Studies",130931
"5","African Cultural Studies",156114
"6","Agricultural&Applied Economics",204076.5
"7","Agriculture Inst",84085.5
"8","Agron & Hort",172651
"9","Anesthesiology",203722.5
"10","Animal and Dairy Sciences",158153
"11","Anthropology",155912
"12","Art",135141
"13","Art History",124885
"14","Asian Languages & Cultures",134582
"15","Astronomy",142954
"16","Atmospheric & Oceanic Sciences",172139
"17","Bacteriology",164926
"18","Biochemistry",194744.5
"19","Biological Systems Engineering",176558
"20","Biomedical Engineering",184611
"21","Biomolecular Chemistry",207137
"22","Biostatistics&Med Informatics",249669
"23","Botany",180297
"24","Budget*L&S",90986
"25","CTR for Jewish St",173400
"26","Cell and Regenerative Biology",205488
"27","Chemical & Biological Engr",192246
"28","Chemistry",178879
"29","Civil & Environmental Engr",162062
"30","Classic & Ancient Near E Stds",150638
"31","Communication Arts",150553.5
"32","Communication Sci & Disorders",209559
"33","Community & Environ Sociology",155552.5
"34","Community Dev Inst",87015
"35","Comparative Biosciences",179229
"36","Computer Sciences",221408
"37","Counseling Psychology",171214
"38","Curriculum and Instruction",146831.5
"39","Dance",143349
"40","Department of Neuroscience",203769
"41","Dept of Med History&Bioethics",261000
"42","Dermatology",137683
"43","Economics",361111
"44","Ed Leadership&Policy Analysis",201626
"45","Educational Policy Studies",178283
"46","Educational Psychology",164217
"47","Electrical & Computer Engr",168913.5
"48","Emergency Medicine",221657
"49","Engineering Physics",202757.5
"50","English",135437
"51","Entomology",179760
"52","Family Medicine",173400
"53","Finance",338912
"54","Food Science",165638.5
"55","Forest & Wildlife Ecology",161831.5
"56","French and Italian",129972
"57","Gender and Women Studies",132035
"58","Genetics",182083
"59","Geography",159118
"60","Geoscience",168414.5
"61","German, Nordic & Slavic",137333
"62","Health & W B Inst",85856
"63","History",159629
"64","Hum Dev & Rel Inst",86932
"65","Human Oncology",185197
"66","Industrial & Systems Engr",194954
"67","Information School",132171
"68","Integrative Biology",172713
"69","Journalism&Mass Communication",149129
"70","Kinesiology",174818.5
"71","Lafollette Sch of Publ Affairs",221833
"72","Language Sciences Program",124438
"73","Law School",214766.5
"74","Liberal Arts & Applied Studies",41724
"75","Life Sciences Communication",185633.5
"76","Management & Human Resources",299040.5
"77","Marketing",353330
"78","Materials Science&Engineering",204847
"79","Mathematics",169914
"80","Mead Witter School of Music",115365.5
"81","Mechanical Engineering",181455
"82","Medical Microbiology",196996
"83","Medical Physics",223453
"84","Medical Sciences",166000
"85","Medicine",173591
"86","Natural Res Inst",99825
"87","Neurological Surgery",133588
"88","Neurology",213972
"89","Nursing",144218
"90","Nutritional Sciences",184328
"91","Obstetrics & Gynecology",198900
"92","Oncology",203098
"93","Operations & Information Mgmt",316664
"94","Ophthalmology&Visual Sciences",203031
"95","Orthopedics and Rehabilitation",172285
"96","Pathobiological Sciences",221074
"97","Pathology&Laboratory Medicine",209070
"98","Pediatrics",202712.5
"99","Pharmacy",175102.5
"100","Philosophy",147564
"101","Physics",169701
"102","Planning & Landscape Arch",171542
"103","Plant Pathology",180053
"104","Political Science",200000
"105","Population Health Sciences",216027.5
"106","Positive Yth Inst",96931
"107","Psychiatry",185345
"108","Psychology",185981
"109","Radiology",208116
"110","Real Estate & Urgan Land Econ",310000
"111","Rehab Psychology & Special Ed",181678
"112","Religious St",122685
"113","Risk & Insurance",300000
"114","School for Workers",134650
"115","School of Human Ecology",136867
"116","Social Work",216089
"117","Sociology",193932.5
"118","Soil Science",163457
"119","Spanish and Portuguese",116785.5
"120","Statistics",193938
"121","Surgery",129584.5
"122","Surgical Sciences",188948
"123","Theatre & Drama",140122.5
"124","Urology",252684
